day,date,set,arm,position,duration(sec),size(mm)
1,2022-12-23,1,1,1,1.3,22
1,2022-12-23,1,2,1,0.8,22
1,2022-12-23,2,1,1,1.7,22
1,2022-12-23,2,2,1,2.46,22
1,2022-12-23,3,1,1,2.02,22
1,2022-12-23,3,2,1,1.35,22
1,2022-12-23,1,1,2,1.46,22
1,2022-12-23,1,2,2,1.33,22
1,2022-12-23,2,1,2,3.05,22
1,2022-12-23,2,2,2,6.64,22
1,2022-12-23,3,1,2,2.24,22
1,2022-12-23,3,2,2,4.26,22
1,2022-12-23,1,1,3,1.02,22
1,2022-12-23,1,2,3,1.02,22
1,2022-12-23,2,1,3,2.03,22
1,2022-12-23,2,2,3,1.58,22
1,2022-12-23,3,1,3,0.99,22
1,2022-12-23,3,2,3,1.09,22
2,2022-12-26,1,1,1,1.8,22
2,2022-12-26,1,2,1,2.34,22
2,2022-12-26,2,1,1,1.98,22
2,2022-12-26,2,2,1,1.57,22
2,2022-12-26,3,1,1,1.59,22
2,2022-12-26,3,2,1,3.23,22
2,2022-12-26,1,1,2,2.32,22
2,2022-12-26,1,2,2,3.76,22
2,2022-12-26,2,1,2,2.04,22
2,2022-12-26,2,2,2,4.02,22
2,2022-12-26,3,1,2,4.28,22
2,2022-12-26,3,2,2,7.35,22
2,2022-12-26,1,1,3,1.82,22
2,2022-12-26,1,2,3,1.65,22
2,2022-12-26,2,1,3,2.51,22
2,2022-12-26,2,2,3,3.63,22
2,2022-12-26,3,1,3,2.09,22
2,2022-12-26,3,2,3,2.71,22
3,2022-12-29,1,1,1,2.25,22
3,2022-12-29,1,2,1,3.19,22
3,2022-12-29,2,1,1,1.81,22
3,2022-12-29,2,2,1,4.58,22
3,2022-12-29,3,1,1,1.72,22
3,2022-12-29,3,2,1,5.72,22
3,2022-12-29,1,1,2,3.0,22
3,2022-12-29,1,2,2,3.73,22
3,2022-12-29,2,1,2,2.83,22
3,2022-12-29,2,2,2,3.77,22
3,2022-12-29,3,1,2,2.82,22
3,2022-12-29,3,2,2,5.5,22
3,2022-12-29,1,1,3,1.9,22
3,2022-12-29,1,2,3,3.43,22
3,2022-12-29,2,1,3,2.06,22
3,2022-12-29,2,2,3,2.87,22
3,2022-12-29,3,1,3,1.78,22
3,2022-12-29,3,2,3,3.97,22
